29-07-2024 19:16:13.863 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 21664 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 19:16:13.866 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 19:16:16.608 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.335 seconds (process running for 3.758)
29-07-2024 19:16:29.425 [http-nio-8080-exec-1] INFO  c.e.a.s.impl.AnimalsServiceImpl.getAnimals - CALL ...
29-07-2024 19:28:37.301 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 10904 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 19:28:37.306 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 19:28:40.023 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.258 seconds (process running for 3.658)
29-07-2024 19:28:49.776 [http-nio-8080-exec-1] INFO  c.e.a.s.impl.AnimalsServiceImpl.getAnimals - CALL ...
29-07-2024 19:35:06.590 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 2040 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 19:35:06.594 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 19:35:09.597 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.541 seconds (process running for 3.978)
29-07-2024 19:44:22.362 [http-nio-8080-exec-1] INFO  c.e.a.s.impl.AnimalsServiceImpl.getAnimals - CALL ...
29-07-2024 19:44:57.512 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 2772 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 19:44:57.515 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 19:45:00.186 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.241 seconds (process running for 3.624)
29-07-2024 19:45:23.063 [http-nio-8080-exec-1] INFO  c.e.a.s.impl.AnimalsServiceImpl.getAnimals - CALL ...
29-07-2024 19:46:42.797 [http-nio-8080-exec-4] INFO  c.e.a.s.impl.AnimalsServiceImpl.getAnimals - CALL ...
29-07-2024 20:06:20.413 [http-nio-8080-exec-7] INFO  c.e.a.s.impl.AnimalsServiceImpl.getAnimals - CALL ...
29-07-2024 20:08:49.969 [http-nio-8080-exec-10] INFO  c.e.a.s.impl.AnimalsServiceImpl.getAnimals - CALL ...
29-07-2024 20:10:18.874 [http-nio-8080-exec-2] INFO  c.e.a.s.impl.AnimalsServiceImpl.getAnimals - CALL ...
29-07-2024 20:10:19.741 [http-nio-8080-exec-4] INFO  c.e.a.s.impl.AnimalsServiceImpl.getAnimals - CALL ...
29-07-2024 20:10:20.147 [http-nio-8080-exec-5] INFO  c.e.a.s.impl.AnimalsServiceImpl.getAnimals - CALL ...
29-07-2024 20:13:23.948 [http-nio-8080-exec-9] INFO  c.e.a.s.impl.AnimalsServiceImpl.getAnimals - CALL ...
